Handles  NPM(K)     PM(K)     WS(K)   CPU(s)      Id  SI  ProcessName        Path
    830      35    104307    107938    35.41   15839   1  wmiprvse           C:\Windows\System32\wbem\WmiPrvSE.exe
    153      17    151149    156371    11.51   15889   1  NisSrv             C:\Program Files\Windows Defender\NisSrv.exe
    552      11     86881    104067     6.67   15918   1  firefox            C:\Program Files\Mozilla Firefox\firefox.exe
    138      36    111816    120702     4.07   15934   1  winlogon           C:\Windows\System32\winlogon.exe
    331      37     51193     58915    28.10   15959   1  OneDrive           C:\Users\jsmith\AppData\Local\Microsoft\OneDrive\OneDrive.exe
    582      51     28238     34016    44.52   15989   1  MsMpEng            C:\Program Files\Windows Defender\MsMpEng.exe
    382      43     74848     92771    21.14   15996   1  ShellExperienceHost C:\Windows\System32\ShellExperienceHost.exe
    825      33    157437    167783    11.62   16045   1  SearchIndexer      C:\Windows\System32\SearchIndexer.exe
   1036      53     79730     88055    19.82   16078   1  conhost            C:\Windows\System32\conhost.exe
   1151      23     76590     84993    12.16   16123   1  svchost            C:\Windows\System32\svchost.exe
    824      37     72754     84083    13.72   16133   1  MsMpEng            C:\Program Files\Windows Defender\MsMpEng.exe
    737      11      9325     15117     8.25   16152   1  services           C:\Windows\System32\services.exe
    648      38     35361     42788    11.01   16163   1  dllhost            C:\Windows\System32\dllhost.exe
    801      45     49425     55129    17.58   16197   1  taskhostw          C:\Windows\System32\taskhostw.exe
    865      22      7389     20306    28.70   16202   1  outlook            C:\Program Files\Microsoft Office\root\Office16\OUTLOOK.EXE
    186      27     84795     88226    19.68   16226   1  dllhost            C:\Windows\System32\dllhost.exe
   1253      10    136572    147838    43.45   16282   1  dllhost            C:\Windows\System32\dllhost.exe
    954      30     66005     76212    43.40   16286   1  chrome             C:\Program Files\Google\Chrome\Application\chrome.exe
    959      18    128502    134722    44.48   16304   1  Spotify            C:\Users\jsmith\AppData\Roaming\Spotify\Spotify.exe
   1134      40     26263     30085     0.38   16364   1  winword            C:\Program Files\Microsoft Office\root\Office16\WINWORD.EXE
   1319       6    126537    144440    23.49   16415   1  vlc                C:\Program Files\VideoLAN\VLC\vlc.exe
    619      32    163966    174414    31.15   16424   1  spoolsv            C:\Windows\System32\spoolsv.exe
   1031      26     51683     56428    34.93   16472   1  Spotify            C:\Users\jsmith\AppData\Roaming\Spotify\Spotify.exe
    224      26     25301     38417    41.46   16525   1  ShellExperienceHost C:\Windows\System32\ShellExperienceHost.exe
    404      50    127103    135188    31.60   16545   1  SearchIndexer      C:\Windows\System32\SearchIndexer.exe
    209       9     99354    110652    14.36   16586   1  SgrmBroker         C:\Windows\System32\SgrmBroker.exe
    254      15    169558    183602     8.19   16630   1  wmiprvse           C:\Windows\System32\wbem\WmiPrvSE.exe
   1296      33    130138    149777    34.08   16655   1  audiodg            C:\Windows\System32\audiodg.exe
    904      56     46964     58107    41.28   16702   1  vlc                C:\Program Files\VideoLAN\VLC\vlc.exe
    324      38    134918    154432    36.47   16734   1  NisSrv             C:\Program Files\Windows Defender\NisSrv.exe
   1182      60    117755    125903    18.88   16752   1  winword            C:\Program Files\Microsoft Office\root\Office16\WINWORD.EXE
    873      47     12072     30337    39.38   16789   1  Spotify            C:\Users\jsmith\AppData\Roaming\Spotify\Spotify.exe
    908      19     31336     43130    38.98   16835   1  NisSrv             C:\Program Files\Windows Defender\NisSrv.exe
    567      41    154180    163298    27.55   16883   1  winword            C:\Program Files\Microsoft Office\root\Office16\WINWORD.EXE
   1375      51     69931     74548     6.40   16899   1  excel              C:\Program Files\Microsoft Office\root\Office16\EXCEL.EXE
   1155      44     55814     69697    13.89   16934   1  conhost            C:\Windows\System32\conhost.exe
    608      19    138520    139365    44.06   16993   1  wmiprvse           C:\Windows\System32\wbem\WmiPrvSE.exe
    130      34    179416    197035    33.20   17004   1  explorer           C:\Windows\explorer.exe
    338      33    173333    177981    44.31   17026   1  MsMpEng            C:\Program Files\Windows Defender\MsMpEng.exe
   1147      49     30249     39814    30.02   17048   1  NisSrv             C:\Program Files\Windows Defender\NisSrv.exe
   1387      10    156078    158618     8.49   17086   1  winlogon           C:\Windows\System32\winlogon.exe
   1254      29    165101    173375    17.85   17142   1  audiodg            C:\Windows\System32\audiodg.exe
   1244      43    100946    104499    12.50   17183   1  outlook            C:\Program Files\Microsoft Office\root\Office16\OUTLOOK.EXE
    316      60    176209    177418    14.70   17195   1  spoolsv            C:\Windows\System32\spoolsv.exe
   1172      16    179788    192225     2.72   17237   1  Teams              C:\Users\jsmith\AppData\Local\Microsoft\Teams\current\Teams.exe
   1203      44      8249     12383    34.62   17263   1  chrome             C:\Program Files\Google\Chrome\Application\chrome.exe
   1339      39    167395    169881    14.85   17317   1  SgrmBroker         C:\Windows\System32\SgrmBroker.exe
   1178      52    150655    166416     8.59   17364   1  vlc                C:\Program Files\VideoLAN\VLC\vlc.exe
   1049       7    156926    158177     7.30   17416   1  ctfmon             C:\Windows\System32\ctfmon.exe
    506      23    150912    160942    33.21   17473   1  MsMpEng            C:\Program Files\Windows Defender\MsMpEng.exe
   1274      25     13953     24889     9.37   17519   1  chrome             C:\Program Files\Google\Chrome\Application\chrome.exe
   1315      40    162088    178476    11.56   17528   1  explorer           C:\Windows\explorer.exe
    839      59    149714    159022    36.75   17547   1  audiodg            C:\Windows\System32\audiodg.exe
    361      42    118447    124108    26.82   17582   1  Teams              C:\Users\jsmith\AppData\Local\Microsoft\Teams\current\Teams.exe
    828      59     15050     16055    17.93   17594   1  cmd                C:\Windows\System32\cmd.exe
    396      31     77323     91897     1.98   17607   1  cmd                C:\Windows\System32\cmd.exe
    866      57     48341     54307     6.06   17650   1  fontdrvhost        C:\Windows\System32\fontdrvhost.exe
   1006      54     11205     24732    36.29   17658   1  services           C:\Windows\System32\services.exe
    665      28     17980     25693    10.94   17694   1  winlogon           C:\Windows\System32\winlogon.exe
    505      25     65333     68460    42.24   17740   1  slack              C:\Users\jsmith\AppData\Local\slack\slack.exe
    477      10     16752     29457    44.36   17766   1  winword            C:\Program Files\Microsoft Office\root\Office16\WINWORD.EXE
    642      27    117205    125512     7.98   17772   1  chrome             C:\Program Files\Google\Chrome\Application\chrome.exe
    178      36    131961    142476    12.36   17783   1  sihost             C:\Windows\System32\sihost.exe
    702      51    175149    183336    25.98   17787   1  Teams              C:\Users\jsmith\AppData\Local\Microsoft\Teams\current\Teams.exe
    516      13     36319     39995    11.73   17810   1  acrord32           C:\Program Files (x86)\Adobe\Acrobat Reader DC\Reader\AcroRd32.exe
    277      19     44140     56816    38.22   17842   1  SecurityHealthService C:\Windows\System32\SecurityHealthService.exe
    714      41     66890     71733    12.84   17878   1  Teams              C:\Users\jsmith\AppData\Local\Microsoft\Teams\current\Teams.exe
   1096      28    178521    186891    18.24   17905   1  OneDrive           C:\Users\jsmith\AppData\Local\Microsoft\OneDrive\OneDrive.exe
    204      54     44775     56526    11.85   17947   1  vlc                C:\Program Files\VideoLAN\VLC\vlc.exe
   1377      27     61648     63295     7.03   17986   1  RuntimeBroker      C:\Windows\System32\RuntimeBroker.exe
    892      17    162347    180072    14.90   18024   1  excel              C:\Program Files\Microsoft Office\root\Office16\EXCEL.EXE
   1103      31     93786    105530    28.72   18067   1  OneDrive           C:\Users\jsmith\AppData\Local\Microsoft\OneDrive\OneDrive.exe
     95      26    122148    134599    38.88   18097   1  taskhostw          C:\Windows\System32\taskhostw.exe
   1366      26     44079     61443    39.30   18142   1  Teams              C:\Users\jsmith\AppData\Local\Microsoft\Teams\current\Teams.exe
   1196      30     51753     59608    11.10   18197   1  slack              C:\Users\jsmith\AppData\Local\slack\slack.exe
    122       6     74419     87739    23.79   18249   1  powershell         C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
   1222      58     57026     66484    44.84   18289   1  csrss              C:\Windows\System32\csrss.exe
    570      27    170503    175322     0.67   18339   1  fontdrvhost        C:\Windows\System32\fontdrvhost.exe
    392      23    121251    138405    43.62   18358   1  notepad            C:\Windows\System32\notepad.exe
    413      59    111037    112214    26.26   18377   1  explorer           C:\Windows\explorer.exe
    357      51    102983    117547    38.72   18397   1  NisSrv             C:\Program Files\Windows Defender\NisSrv.exe
   1176       6     10718     11602    24.76   18407   1  ShellExperienceHost C:\Windows\System32\ShellExperienceHost.exe
    271      48    108199    116296     7.25   18450   1  NisSrv             C:\Program Files\Windows Defender\NisSrv.exe
   1070      25     10897     13432    34.14   18485   1  audiodg            C:\Windows\System32\audiodg.exe
    267       5    121734    133469    19.42   18509   1  SgrmBroker         C:\Windows\System32\SgrmBroker.exe
    530      36     93366    112950    39.36   18544   1  MsMpEng            C:\Program Files\Windows Defender\MsMpEng.exe
    252      48     96179    111932     9.94   18581   1  SearchIndexer      C:\Windows\System32\SearchIndexer.exe
    374      23     56736     61913    41.88   18613   1  chrome             C:\Program Files\Google\Chrome\Application\chrome.exe
    670      39    116521    128778     4.89   18617   1  csrss              C:\Windows\System32\csrss.exe
    161      27    169125    174641     6.27   18659   1  ShellExperienceHost C:\Windows\System32\ShellExperienceHost.exe
    398      35     35356     42086    24.83   18664   1  svchost            C:\Windows\System32\svchost.exe
    891      27     73749     77806    21.55   18693   1  slack              C:\Users\jsmith\AppData\Local\slack\slack.exe
   1076      34    123416    140600    11.94   18736   1  outlook            C:\Program Files\Microsoft Office\root\Office16\OUTLOOK.EXE
    482      46     13095     26344    22.61   18792   1  OneDrive           C:\Users\jsmith\AppData\Local\Microsoft\OneDrive\OneDrive.exe
    284      25     56650     73435     9.96   18836   1  vlc                C:\Program Files\VideoLAN\VLC\vlc.exe
    256      12    149906    153912     5.93   18860   1  spoolsv            C:\Windows\System32\spoolsv.exe
    440       8     74130     78059    41.07   18869   1  powershell         C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
   1309      50     72516     76169    13.44   18906   1  wininit            C:\Windows\System32\wininit.exe
    396      34     75382     87227    26.62   18919   1  explorer           C:\Windows\explorer.exe
    848      36     96612    112121    30.59   18960   1  firefox            C:\Program Files\Mozilla Firefox\firefox.exe
    688       9    146492    160752    32.42   19014   1  powershell         C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
   1054      22      7745     10945    11.28   19018   1  conhost            C:\Windows\System32\conhost.exe
    771      21    132390    147660    25.55   19051   1  SearchIndexer      C:\Windows\System32\SearchIndexer.exe
    535      44    173661    175573    21.69   19086   1  outlook            C:\Program Files\Microsoft Office\root\Office16\OUTLOOK.EXE
    787       9      9092     18460    41.92   19139   1  outlook            C:\Program Files\Microsoft Office\root\Office16\OUTLOOK.EXE
    351      18    178539    181490    10.45   19199   1  lsass              C:\Windows\System32\lsass.exe
   1397      38     52822     67120    20.47   19223   1  SecurityHealthService C:\Windows\System32\SecurityHealthService.exe
    821      43    110034    118363    37.07   19256   1  chrome             C:\Program Files\Google\Chrome\Application\chrome.exe
    460      35     52184     61614    38.50   19295   1  acrord32           C:\Program Files (x86)\Adobe\Acrobat Reader DC\Reader\AcroRd32.exe
    632       8    138217    157348    12.49   19316   1  slack              C:\Users\jsmith\AppData\Local\slack\slack.exe
    864      19     48159     62943     2.09   19324   1  fontdrvhost        C:\Windows\System32\fontdrvhost.exe
   1120      30     37666     45512    24.65   19368   1  csrss              C:\Windows\System32\csrss.exe
   1201      49    145543    151027    25.54   19414   1  notepad            C:\Windows\System32\notepad.exe
    214      43    117763    137654    31.89   19459   1  notepad            C:\Windows\System32\notepad.exe
    262      28     38265     40950    27.87   19508   1  csrss              C:\Windows\System32\csrss.exe
   1224      27     69354     71928    12.59   19536   1  firefox            C:\Program Files\Mozilla Firefox\firefox.exe
    504      50    127749    136482    11.50   19546   1  spoolsv            C:\Windows\System32\spoolsv.exe
   1124      27     75084     87825    14.98   19581   1  fontdrvhost        C:\Windows\System32\fontdrvhost.exe
     97      48    157927    172826    10.46   19589   1  wininit            C:\Windows\System32\wininit.exe
   1143      57    126585    133806    39.91   19636   1  services           C:\Windows\System32\services.exe
    730      17      9525     17356    11.69   19646   1  audiodg            C:\Windows\System32\audiodg.exe
   1389      16     57409     63502     8.16   19697   1  cmd                C:\Windows\System32\cmd.exe
    558      56     65479     81452    32.92   19735   1  RuntimeBroker      C:\Windows\System32\RuntimeBroker.exe
    476      11    163311    178599     4.02   19778   1  sihost             C:\Windows\System32\sihost.exe
    311      37    119236    127043    32.17   19837   1  acrord32           C:\Program Files (x86)\Adobe\Acrobat Reader DC\Reader\AcroRd32.exe
   1086      23    102382    109248    27.29   19848   1  NisSrv             C:\Program Files\Windows Defender\NisSrv.exe
    112      54     57546     76191    23.68   19904   1  wmiprvse           C:\Windows\System32\wbem\WmiPrvSE.exe
    911      54     77956     97154     6.74   19959   1  dwm                C:\Windows\System32\dwm.exe
    534      54     31928     49561    26.72   19964   1  svchost            C:\Windows\System32\svchost.exe
    686      37    156944    163590     3.49   20015   1  chrome             C:\Program Files\Google\Chrome\Application\chrome.exe
   1107      26     90194    101037     5.06   20027   1  ctfmon             C:\Windows\System32\ctfmon.exe
   1226      11     14828     23616    20.23   20042   1  firefox            C:\Program Files\Mozilla Firefox\firefox.exe
   1226      46      2634      5536    24.24   20101   1  csrss              C:\Windows\System32\csrss.exe
    725      36    158816    175066    29.83   20127   1  firefox            C:\Program Files\Mozilla Firefox\firefox.exe
    460      25     15903     27533    11.21   20184   1  conhost            C:\Windows\System32\conhost.exe
   1214       7     18709     35113    10.25   20231   1  chrome             C:\Program Files\Google\Chrome\Application\chrome.exe
    515      10    160221    165494    15.24   20248   1  ShellExperienceHost C:\Windows\System32\ShellExperienceHost.exe
   1026      24     61679     71720    15.14   20271   1  cmd                C:\Windows\System32\cmd.exe
    313      18     16536     36025    31.35   20308   1  wmiprvse           C:\Windows\System32\wbem\WmiPrvSE.exe
    216      46    118069    126030    24.09   20349   1  services           C:\Windows\System32\services.exe
    874      42    105437    117448    21.98   20391   1  lsass              C:\Windows\System32\lsass.exe
    954      22    161574    175164    39.05   20422   1  winlogon           C:\Windows\System32\winlogon.exe
   1174      59    146784    153017    18.94   20462   1  explorer           C:\Windows\explorer.exe
    751      22    134780    153085    17.56   20519   1  wmiprvse           C:\Windows\System32\wbem\WmiPrvSE.exe
    701      18    169104    188625    36.43   20536   1  lsass              C:\Windows\System32\lsass.exe
     82      41    115183    128656    29.45   20585   1  fontdrvhost        C:\Windows\System32\fontdrvhost.exe
     95      20     38445     41913    24.31   20625   1  taskhostw          C:\Windows\System32\taskhostw.exe
   1045      36     77700     88749    39.04   20653   1  slack              C:\Users\jsmith\AppData\Local\slack\slack.exe
    962      40    169223    181439    35.61   20664   1  OneDrive           C:\Users\jsmith\AppData\Local\Microsoft\OneDrive\OneDrive.exe
    236      40     38528     40623    20.23   20718   1  csrss              C:\Windows\System32\csrss.exe
   1193      51     88384    103997    10.97   20734   1  excel              C:\Program Files\Microsoft Office\root\Office16\EXCEL.EXE
    960       9     59869     74508    21.51   20781   1  acrord32           C:\Program Files (x86)\Adobe\Acrobat Reader DC\Reader\AcroRd32.exe
    885      28     52403     68747    43.46   20809   1  notepad            C:\Windows\System32\notepad.exe
    169      55    142654    161489    34.10   20813   1  spoolsv            C:\Windows\System32\spoolsv.exe
    247      29    139792    149366    29.79   20853   1  powershell         C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
   1267       9     72883     78915    16.34   20889   1  dllhost            C:\Windows\System32\dllhost.exe
    113      42    100334    101394     4.57   20937   1  chrome             C:\Program Files\Google\Chrome\Application\chrome.exe
    679      51     35476     36138    14.21   20956   1  taskhostw          C:\Windows\System32\taskhostw.exe
   1242      46    171388    189250    12.84   20964   1  winlogon           C:\Windows\System32\winlogon.exe
   1146      39    151266    164646    25.22   20993   1  firefox            C:\Program Files\Mozilla Firefox\firefox.exe
    919      44    170308    184441    43.02   21050   1  taskhostw          C:\Windows\System32\taskhostw.exe
   1065      32     41376     45165     7.38   21102   1  chrome             C:\Program Files\Google\Chrome\Application\chrome.exe
    409      43     61665     77008    26.02   21158   1  acrord32           C:\Program Files (x86)\Adobe\Acrobat Reader DC\Reader\AcroRd32.exe
    499      32      4392     14480    18.49   21190   1  csrss              C:\Windows\System32\csrss.exe
    701      12    120889    136999    12.70   21199   1  conhost            C:\Windows\System32\conhost.exe
    520      14    121493    135273    31.50   21226   1  SecurityHealthService C:\Windows\System32\SecurityHealthService.exe
   1300      28     49078     60219     6.52   21284   1  acrord32           C:\Program Files (x86)\Adobe\Acrobat Reader DC\Reader\AcroRd32.exe
    685      57     15121     25987    12.39   21333   1  acrord32           C:\Program Files (x86)\Adobe\Acrobat Reader DC\Reader\AcroRd32.exe
    940      26     66902     72606    31.97   21356   1  spoolsv            C:\Windows\System32\spoolsv.exe
    324      48    122870    134009    27.23   21386   1  powershell         C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
    797       5     51447     57311    21.66   21430   1  Discord            C:\Users\jsmith\AppData\Local\Discord\app-1.0.9013\Discord.exe
    119      46      4702     23396    44.50   21464   1  RuntimeBroker      C:\Windows\System32\RuntimeBroker.exe
    607      25    110674    119594     4.03   21511   1  firefox            C:\Program Files\Mozilla Firefox\firefox.exe
    412       7     91804    109330    32.88   21538   1  lsass              C:\Windows\System32\lsass.exe
   1008      32     48175     60286     7.48   21560   1  chrome             C:\Program Files\Google\Chrome\Application\chrome.exe
    308      29     56408     75598    10.45   21606   1  Teams              C:\Users\jsmith\AppData\Local\Microsoft\Teams\current\Teams.exe
   1164      51    150948    154937    35.50   21662   1  services           C:\Windows\System32\services.exe
    859      13    149314    165315    37.93   21670   1  chrome             C:\Program Files\Google\Chrome\Application\chrome.exe
   1225      13    138763    149536    23.43   21702   1  audiodg            C:\Windows\System32\audiodg.exe
    591      34     69881     74662     4.27   21741   1  sihost             C:\Windows\System32\sihost.exe
    199      53    164694    165930    41.00   21800   1  outlook            C:\Program Files\Microsoft Office\root\Office16\OUTLOOK.EXE
    811      43     88689     99654    16.80   21848   1  powershell         C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
    669      38     64710     75862     0.24   21869   1  cmd                C:\Windows\System32\cmd.exe
    320      48     77978     84558    32.56   21886   1  outlook            C:\Program Files\Microsoft Office\root\Office16\OUTLOOK.EXE
    322      42    126786    135737     3.11   21923   1  SecurityHealthService C:\Windows\System32\SecurityHealthService.exe
    821      55    128418    144659    16.53   21950   1  dwm                C:\Windows\System32\dwm.exe
    467      34    131109    150878     0.47   21989   1  dllhost            C:\Windows\System32\dllhost.exe
    114      24    138539    148222     3.35   22035   1  OneDrive           C:\Users\jsmith\AppData\Local\Microsoft\OneDrive\OneDrive.exe
    219      38     82721    101825     6.94   22094   1  winlogon           C:\Windows\System32\winlogon.exe
    302      39     36687     50122    22.05   22117   1  MsMpEng            C:\Program Files\Windows Defender\MsMpEng.exe
   1280      40     88237    104925    36.11   22134   1  excel              C:\Program Files\Microsoft Office\root\Office16\EXCEL.EXE
    153      16     74206     92059    15.27   22184   1  Spotify            C:\Users\jsmith\AppData\Roaming\Spotify\Spotify.exe
    714      58    133903    136816     4.62   22243   1  winword            C:\Program Files\Microsoft Office\root\Office16\WINWORD.EXE
    574      28     91333    102619    32.61   22275   1  vlc                C:\Program Files\VideoLAN\VLC\vlc.exe
    233      30     46306     59994    31.34   22308   1  Spotify            C:\Users\jsmith\AppData\Roaming\Spotify\Spotify.exe
    632      41    146345    165973    42.46   22351   1  notepad            C:\Windows\System32\notepad.exe
    118      24     42966     61127    19.01   22388   1  svchost            C:\Windows\System32\svchost.exe
    429      10     17387     37345    41.13   22427   1  csrss              C:\Windows\System32\csrss.exe
    221      37    174737    175993    10.25   22431   1  excel              C:\Program Files\Microsoft Office\root\Office16\EXCEL.EXE
    253      43     98555    107147    39.00   22486   1  OneDrive           C:\Users\jsmith\AppData\Local\Microsoft\OneDrive\OneDrive.exe
   1251      32     28609     47889    33.73   22546   1  SecurityHealthService C:\Windows\System32\SecurityHealthService.exe
   1072      18     73101     87826     6.31   22594   1  notepad            C:\Windows\System32\notepad.exe
    703      58     41797     48548    13.12   22625   1  winword            C:\Program Files\Microsoft Office\root\Office16\WINWORD.EXE
   1228      59    126108    140363    28.11   22674   1  ctfmon             C:\Windows\System32\ctfmon.exe
   1113      11     98249    100848     2.71   22734   1  winlogon           C:\Windows\System32\winlogon.exe
   1260      13     79692     89413    17.24   22766   1  vlc                C:\Program Files\VideoLAN\VLC\vlc.exe
   1104      49    166580    174250    34.48   22801   1  OneDrive           C:\Users\jsmith\AppData\Local\Microsoft\OneDrive\OneDrive.exe
    556      50    171581    172290    21.83   22844   1  conhost            C:\Windows\System32\conhost.exe
   1283      49     79876     96511    24.42   22872   1  winlogon           C:\Windows\System32\winlogon.exe
    574      17     47408     60108    13.24   22927   1  NisSrv             C:\Program Files\Windows Defender\NisSrv.exe
    166      32     48146     60245    21.41   22969   1  SgrmBroker         C:\Windows\System32\SgrmBroker.exe
    211      53     71901     89986    19.20   22999   1  acrord32           C:\Program Files (x86)\Adobe\Acrobat Reader DC\Reader\AcroRd32.exe
    161      18     11512     27629     1.06   23043   1  winword            C:\Program Files\Microsoft Office\root\Office16\WINWORD.EXE
   1024      22     19337     33166    41.28   23088   1  SecurityHealthService C:\Windows\System32\SecurityHealthService.exe
    888      57    119244    123103    27.06   23147   1  spoolsv            C:\Windows\System32\spoolsv.exe
     82       8    142904    158543     2.31   23171   1  dllhost            C:\Windows\System32\dllhost.exe
    236       8    178444    191069     3.65   23188   1  explorer           C:\Windows\explorer.exe
   1108      11     88206    103913    43.15   23228   1  chrome             C:\Program Files\Google\Chrome\Application\chrome.exe
    712      48     99192    107944    30.28   23266   1  csrss              C:\Windows\System32\csrss.exe
    747      28     48986     61863    23.63   23309   1  wininit            C:\Windows\System32\wininit.exe
   1172      10    113427    129608    14.93   23321   1  chrome             C:\Program Files\Google\Chrome\Application\chrome.exe
   1398      57     39122     41274    28.54   23341   1  wininit            C:\Windows\System32\wininit.exe
    963      28     35129     39120    34.37   23363   1  OneDrive           C:\Users\jsmith\AppData\Local\Microsoft\OneDrive\OneDrive.exe
    883      20    142890    162018    11.05   23398   1  SgrmBroker         C:\Windows\System32\SgrmBroker.exe
    685      50     57546     75811    14.04   23416   1  wininit            C:\Windows\System32\wininit.exe
    661      16    128854    139414    25.31   23420   1  chrome             C:\Program Files\Google\Chrome\Application\chrome.exe
   1083      47     23067     36316    15.57   23472   1  taskhostw          C:\Windows\System32\taskhostw.exe
   1222      41     28860     40883    21.58   23493   1  NisSrv             C:\Program Files\Windows Defender\NisSrv.exe
    452      40     52672     53628    40.10   23532   1  excel              C:\Program Files\Microsoft Office\root\Office16\EXCEL.EXE
    107      19     46881     54696    14.30   23538   1  SgrmBroker         C:\Windows\System32\SgrmBroker.exe
   1340      39    146679    153940    41.66   23552   1  fontdrvhost        C:\Windows\System32\fontdrvhost.exe
    907      40     59026     64986    17.43   23599   1  Teams              C:\Users\jsmith\AppData\Local\Microsoft\Teams\current\Teams.exe
    897      30     56656     68341    15.71   23650   1  sihost             C:\Windows\System32\sihost.exe
    386      26     98039    115621    18.61   23685   1  vlc                C:\Program Files\VideoLAN\VLC\vlc.exe
   1298      11    110737    125510    29.84   23714   1  dllhost            C:\Windows\System32\dllhost.exe
    794      35    155857    171802     0.54   23772   1  SecurityHealthService C:\Windows\System32\SecurityHealthService.exe
    756      42     88556    106400    35.67   23803   1  SgrmBroker         C:\Windows\System32\SgrmBroker.exe
   1253      59    115613    133907    18.24   23820   1  audiodg            C:\Windows\System32\audiodg.exe
   1400      27     15298     19094    17.03   23872   1  audiodg            C:\Windows\System32\audiodg.exe
   1190      54     74441     79706    26.75   23928   1  NisSrv             C:\Program Files\Windows Defender\NisSrv.exe
    679      16     20466     32948    20.59   23959   1  cmd                C:\Windows\System32\cmd.exe
    738      17    178787    183900    30.27   23980   1  NisSrv             C:\Program Files\Windows Defender\NisSrv.exe
    299      47     24850     27904    22.49   24007   1  chrome             C:\Program Files\Google\Chrome\Application\chrome.exe
    644      47    136065    137048     5.35   24027   1  slack              C:\Users\jsmith\AppData\Local\slack\slack.exe
    559       9    168682    186169     5.82   24033   1  powershell         C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
   1152      55     98711    113694    15.80   24069   1  explorer           C:\Windows\explorer.exe
   1267      51    150508    151638    21.42   24101   1  Teams              C:\Users\jsmith\AppData\Local\Microsoft\Teams\current\Teams.exe
    475      12    105727    109243    35.79   24132   1  MsMpEng            C:\Program Files\Windows Defender\MsMpEng.exe
    772      18    138020    146596    37.83   24179   1  ShellExperienceHost C:\Windows\System32\ShellExperienceHost.exe
   1146      31    111917    125717    28.17   24207   1  taskhostw          C:\Windows\System32\taskhostw.exe
   1192      56    154721    159271     9.57   24248   1  SearchIndexer      C:\Windows\System32\SearchIndexer.exe
   1247       7     22524     27275     1.99   24299   1  explorer           C:\Windows\explorer.exe
    333      46     81641     89662    18.21   24324   1  Teams              C:\Users\jsmith\AppData\Local\Microsoft\Teams\current\Teams.exe
    779      15    101873    110261    27.42   24352   1  excel              C:\Program Files\Microsoft Office\root\Office16\EXCEL.EXE
   1015      36     20970     29315    36.13   24386   1  slack              C:\Users\jsmith\AppData\Local\slack\slack.exe
    997      37     73160     79730     4.12   24411   1  SgrmBroker         C:\Windows\System32\SgrmBroker.exe
   1312      39    159723    167064    13.79   24447   1  csrss              C:\Windows\System32\csrss.exe
    821      45    168361    181286    44.69   24504   1  Teams              C:\Users\jsmith\AppData\Local\Microsoft\Teams\current\Teams.exe
    578      48    125745    128603    15.92   24520   1  conhost            C:\Windows\System32\conhost.exe
   1171      53      5516      6712    40.14   24542   1  Discord            C:\Users\jsmith\AppData\Local\Discord\app-1.0.9013\Discord.exe
    950       6     48871     60537    30.37   24551   1  Discord            C:\Users\jsmith\AppData\Local\Discord\app-1.0.9013\Discord.exe
    472      24     46618     64209     8.21   24608   1  lsass              C:\Windows\System32\lsass.exe
   1211      50    170937    185484    39.41   24668   1  dllhost            C:\Windows\System32\dllhost.exe
    360      16     16191     20445    29.35   24720   1  spoolsv            C:\Windows\System32\spoolsv.exe
    778      52     62578     72792    32.15   24753   1  excel              C:\Program Files\Microsoft Office\root\Office16\EXCEL.EXE
    179      10     94821    102460     3.14   24809   1  spoolsv            C:\Windows\System32\spoolsv.exe
    543      13      2323      8295    24.58   24867   1  wininit            C:\Windows\System32\wininit.exe
    192      39     90260    109759    10.80   24880   1  taskhostw          C:\Windows\System32\taskhostw.exe
    401      18     74552     81885    23.06   24922   1  explorer           C:\Windows\explorer.exe
   1318      23     23947     43822    10.27   24940   1  cmd                C:\Windows\System32\cmd.exe
   1274       5     36414     38091     0.08   24983   1  dllhost            C:\Windows\System32\dllhost.exe
   1209      20     87584    101514    32.74   25023   1  slack              C:\Users\jsmith\AppData\Local\slack\slack.exe
   1237      20     64939     75867    41.84   25031   1  firefox            C:\Program Files\Mozilla Firefox\firefox.exe
   1120      26    104109    109315    36.82   25086   1  services           C:\Windows\System32\services.exe
    446      25    105780    107356    27.96   25099   1  SgrmBroker         C:\Windows\System32\SgrmBroker.exe
    528      15      2338     21323     6.84   25148   1  OneDrive           C:\Users\jsmith\AppData\Local\Microsoft\OneDrive\OneDrive.exe
    611      59     30999     50902    19.29   25204   1  SearchIndexer      C:\Windows\System32\SearchIndexer.exe
    162       7     57670     67375    21.85   25217   1  SgrmBroker         C:\Windows\System32\SgrmBroker.exe
    810      31      6624     21693    25.50   25234   1  chrome             C:\Program Files\Google\Chrome\Application\chrome.exe
    618      51    128677    136854    22.47   25269   1  OneDrive           C:\Users\jsmith\AppData\Local\Microsoft\OneDrive\OneDrive.exe
    730      29    167538    171199    26.60   25307   1  vlc                C:\Program Files\VideoLAN\VLC\vlc.exe
    271      42     36692     55707     4.78   25343   1  csrss              C:\Windows\System32\csrss.exe
